,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
438,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,51493,42850,1375,1.5,367 Ratings & 44 Reviews,4.3,Blue,5
439,LG 1 Ton 4 Star Split Dual Inverter AC with Wi-fi Connect  - White,59990,42000,604,1,17 Ratings & 3 Reviews,4.6,LG,4
440,ONIDA 1 Ton 5 Star Split Inverter AC  - White,53990,33999,820,1,100 Ratings & 16 Reviews,4.5,ONIDA,5
441,SAMSUNG 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,75990,47499,749,1.5,,,SAMSUNG,5
442,Blue Star 1.5 Ton 3 Star Split AC  - White,49500,40999,1450,1.5,"1,483 Ratings & 168 Reviews",4.4,Blue,3
443,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,71990,37449,966,1.5,,,Voltas,4
444,IFB 1.5 Ton 5 Star Split Inverter AC  - White,54390,42990,2590,1.5,254 Ratings & 37 Reviews,4.2,IFB,5
445,Daikin 1.8 Ton 5 Star Split Inverter AC with PM 2.5 Filter with Wi-fi Connect  - White,88900,67100,1575,1.8,,,Daikin,5
446,Lloyd 2 Ton 5 Star Split Inverter AC  - White,79990,53999,1757,2,,,Lloyd,5
447,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,61500,35339,1600,1.5,4 Ratings & 0 Reviews,3.5,Blue,3
448,Hitachi Ice Clean Frost Wash Technology 2023 Model 1.8 Ton 3 Star Split Inverter Xpandable plus Ambien...,73300,47499,1251,1.8,"1,378 Ratings & 112 Reviews",3.9,Hitachi,3
449,LG 1.5 Ton Window Inverter AC  - White,60999,34554,1251,1.5,9 Ratings & 1 Reviews,4.2,LG,
450,LIVPURE 1.5 Ton 3 Star Split Inverter Smart AC with Wi-fi Connect  - White,44990,36990,1600,1.5,"2,609 Ratings & 574 Reviews",4.2,LIVPURE,3
451,Godrej 1.5 Ton 3 Star Split Inverter AC  - White,58000,39500,1750,1.5,"2,237 Ratings & 216 Reviews",4,Godrej,3
452,Daikin 1.5 Ton 3 Star Split Inverter AC with PM 2.5 Filter  - White,61300,41590,1670,1.5,,,Daikin,3
453,Voltas 2 Ton 3 Star Split Inverter AC  - White,74264,47900,1670,2,39 Ratings & 5 Reviews,4,Voltas,3
454,Hitachi 1.5 Ton 5 Star Split Inverter AC  - White,60500,46999,1540,1.5,,,Hitachi,5
455,Panasonic 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,66900,46820,1660,1.5,,,Panasonic,5
456,Blue Star 1.5 Ton 3 Star Window AC  - White,39500,29990,1168,1.5,950 Ratings & 96 Reviews,4.1,Blue,3
457,Panasonic 1.5 Ton 5 Star Window Inverter AC  - White,49900,36210,1086,1.5,3 Ratings & 0 Reviews,3.7,Panasonic,5
458,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,71990,44790,749,1.5,,,SAMSUNG,5
459,Daikin 1.8 Ton 3 Star Split Inverter AC  - White,72900,51099,1950,1.8,,,Daikin,3
460,Daikin 1.5 Ton 5 Star Split Inverter AC  - White,73800,58450,1325,1.5,,,Daikin,5
461,Lloyd 1.5 Ton 5 Star Window AC  - White,54990,35499,1072,1.5,,,Lloyd,5
462,SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White,62900,56500,1860,1.5,30 Ratings & 7 Reviews,4.8,SAMSUNG,3
463,Blue Star 1.5 Ton 5 Star Split Inverter AC  - White,52900,49300,1295,1.5,121 Ratings & 10 Reviews,4.2,Blue,5
464,LG 1.5 Ton 5 Star Split Dual Inverter AC with Wi-fi Connect  - White,78990,48400,685,1.5,,,LG,5
465,Frigidaire convertible 4-in-1 cooling 1.5 Ton 3 Star Split Inverter AC  - White,57980,30999,1610,1.5,,,Frigidaire,3
466,Blue Star 2 Ton 5 Star Split Inverter AC  - White,80000,59990,555,2,,,Blue,5
467,Intex 1.5 Ton 3 Star Window AC  - White,25000,23500,1680,1.5,7 Ratings & 0 Reviews,3.6,Intex,3
468,Panasonic 1.5 Ton 3 Star Split Inverter AC  - White,55400,38619,1695,1.5,,,Panasonic,3
469,Blue Star 1.5 Ton 3 Star Split Inverter AC  - White,59000,37890,975,1.5,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3
470,Daikin 1.8 Ton 1 Star Split AC  - White,61600,43450,1855,1.8,,,Daikin,1
471,Hitachi 1 Ton 5 Star Split Inverter AC  - White,62600,41500,875,1,,,Hitachi,5
472,Blue Star 1.5 Ton Split Inverter AC  - White,69500,44490,875,1.5,,,Blue,
473,Haier 1.5 Ton Split Triple Inverter AC  - White,65000,36899,875,1.5,,,Haier,
474,IFB 7 Stage Air Treatment 1.5 Ton 3 Star Split Inverter PM 0.3 Filter Gold Series AC  - White,49490,39490,1119,1.5,284 Ratings & 51 Reviews,4.3,IFB,3
475,Haier 1 Ton 3 Star Split Inverter AC  - White,59490,34490,732,1,,,Haier,3
476,Haier 1.2 Ton 3 Star Split Inverter AC  - White,60990,32490,823,1.2,"1,380 Ratings & 167 Reviews",4,Haier,3
477,Voltas 1.5 Ton 3 Star Split AC  - White,51990,38200,1450,1.5,"2,655 Ratings & 227 Reviews",4.1,Voltas,3
478,Voltas 2 Ton 3 Star Split Inverter AC  - White,74999,48950,2050,2,,,Voltas,3
479,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,60190,29980,2050,1.5,"16,559 Ratings & 1,553 Reviews",4.2,Voltas,3
480,Blue Star 2 Ton 5 Star Split Inverter AC  - White,79900,56990,1770,2,23 Ratings & 0 Reviews,4.4,Blue,5
