,Unnamed: 0,Product_Name,Original_Price(in Rs),Discount_Price(in Rs),Power_consumption(Watts),Capacity,Reviews,Rating,Brand,Energy_consumption
128,128,Daikin 1 Ton 3 Star Split Inverter AC  - White,48200.0,33850,680,1.0,191 Ratings & 24 Reviews,4.0,Daikin,3.0
129,129,"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 5 Star Split AI Dual Inverter 4 Way Swing, HD Filt...",81990.0,49990,685,1.5,"9,269 Ratings & 920 Reviews",4.1,LG,5.0
130,130,Voltas 1.5 Ton 5 Star Window Inverter AC  - White,49990.0,34490,1640,1.5,379 Ratings & 31 Reviews,4.1,Voltas,5.0
131,131,Blue Star 1.5 Ton 5 Star Window AC  - White,44500.0,35990,1045,1.5,950 Ratings & 96 Reviews,4.1,Blue,5.0
132,132,CARRIER 1 Ton 3 Star Split 2 Way Air Directional control with HD Filter (2023 Model) AC  - White,54590.0,32999,940,1.0,106 Ratings & 8 Reviews,4.3,CARRIER,3.0
133,133,SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,65990.0,36999,832,1.5,"5,037 Ratings & 454 Reviews",4.1,SAMSUNG,5.0
134,134,Voltas 1 Ton 3 Star Window AC  - White,35990.0,26198,774,1.0,31 Ratings & 4 Reviews,4.1,Voltas,3.0
135,135,Thomson 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter With iBreeze Technology AC  - White,43998.0,30499,1640,1.5,745 Ratings & 164 Reviews,4.0,Thomson,3.0
136,136,Lloyd 1 Ton 3 Star Split Inverter AC with Wi-fi Connect  - White,45990.0,28490,1110,1.0,6 Ratings & 0 Reviews,4.7,Lloyd,3.0
137,137,"Hitachi 1.5 T 5 Star Split Inverter AC  - White, Gold",65300.0,43999,780,1.5,"1,378 Ratings & 112 Reviews",3.9,Hitachi,5.0
138,138,"Hitachi 1 Ton 3 Star Split Inverter AC  - White, Gold",48200.0,31999,688,1.0,405 Ratings & 40 Reviews,3.8,Hitachi,3.0
139,139,Godrej Turbo Mode 2023 Model 1.5 Ton 3 Star Window with Anti Corrosive Blue Fin AC  - White,41900.0,26499,1216,1.5,59 Ratings & 9 Reviews,3.9,Godrej,3.0
140,140,Hitachi Iconic wave design 2023 Model 1.5 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC ...,56300.0,38380,1039,1.5,143 Ratings & 15 Reviews,4.1,Hitachi,3.0
141,141,Voltas 1 Ton 5 Star Split Inverter AC  - White,63990.0,35990,541,1.0,143 Ratings & 15 Reviews,4.1,Voltas,5.0
142,142,SAMSUNG 1 Ton 3 Star Split Inverter AC  - White,60990.0,31600,624,1.0,143 Ratings & 15 Reviews,4.1,SAMSUNG,3.0
143,143,Daikin 1 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,55500.0,37999,940,1.0,"2,330 Ratings & 227 Reviews",4.2,Daikin,5.0
144,144,"Blue Star 2023 Model 1 Ton 2 Star Split Multi Sensors, Comfort Sleep Mode, Turbo Cool, Self Diagnosis,...",44250.0,30990,727,1.0,"1,604 Ratings & 187 Reviews",4.1,Blue,2.0
145,145,"Haier Frost Self-Clean 2023 Model 1.5 Ton 5 Star Split Inverter Intelli Convertible 7-in-1, Cooling at...",71490.0,39990,1240,1.5,"1,380 Ratings & 167 Reviews",4.0,Haier,5.0
146,146,Daikin 1 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White,55500.0,37999,940,1.0,"2,330 Ratings & 227 Reviews",4.2,Daikin,5.0
147,147,SAMSUNG Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Inverter Wind Free AC  - White,52990.0,34099,624,1.0,"1,058 Ratings & 106 Reviews",4.1,SAMSUNG,3.0
148,148,Hitachi Iconic wave design 2023 Model 1 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC  -...,46600.0,33499,706,1.0,143 Ratings & 15 Reviews,4.1,Hitachi,3.0
149,149,"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.2 Ton 3 Star Split Inverter Multi Sensors, Stabalize...",57500.0,33990,865,1.2,"13,188 Ratings & 1,434 Reviews",4.2,Blue,3.0
150,150,Thomson 1.5 Ton 2 Star Split With iBreeze Technology AC  - White,39999.0,28999,732,1.5,22 Ratings & 2 Reviews,3.9,Thomson,2.0
151,151,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 3 Star Split Inverter wi...,69400.0,50990,1234,2.0,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,3.0
152,152,Whirlpool 4 in 1 Convertible Cooling 1.5 Ton 3 Star Split Inverter AC  - White,64600.0,31299,1570,1.5,"7,673 Ratings & 831 Reviews",4.1,Whirlpool,3.0
153,153,Lloyd 1.5 Ton 5 Star Window AC  - White,54990.0,32890,1072,1.5,"1,162 Ratings & 180 Reviews",4.1,Lloyd,5.0
154,154,CARRIER 6-in-1 Flexicool 2023 Model 1.5 Ton 5 Star Split Inverter with Anti-Viral Guard & Smart Energy...,81890.0,45999,1310,1.5,360 Ratings & 61 Reviews,3.9,CARRIER,5.0
155,155,"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.6 Ton 3 Star Split Inverter Smart Ready, 7 Stage...",53490.0,40490,1083,1.6,632 Ratings & 82 Reviews,4.2,IFB,3.0
156,156,CARRIER Flexicool Convertible 4-in-1 Cooling 2 Ton 3 Star Split Inverter Dual Filtration with HD and P...,78890.0,48999,2010,2.0,"1,162 Ratings & 105 Reviews",4.3,CARRIER,3.0
157,157,Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 5 Star Split Inverter wi...,87900.0,65990,926,2.0,"16,011 Ratings & 1,910 Reviews",4.3,Panasonic,5.0
158,158,Lloyd 1.5 Ton 2 Star Split AC  - White,59990.0,32999,1114,1.5,97 Ratings & 13 Reviews,3.9,Lloyd,2.0
159,159,"Blue Star Convertible 4 in 1 Cooling 2023 Model 1 Ton 4 Star Split Inverter Multi Sensors, Stabalizer ...",59500.0,34990,583,1.0,"13,188 Ratings & 1,434 Reviews",4.2,Blue,4.0
160,160,MarQ by Flipkart 2023 Range 0.8 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technolog...,45499.0,25999,880,0.8,"3,180 Ratings & 374 Reviews",4.1,MarQ,3.0
161,161,Lloyd 1.5 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,69990.0,42000,780,1.5,791 Ratings & 148 Reviews,4.2,Lloyd,5.0
162,162,realme TechLife 1 Ton 5 Star Split Inverter Smart AC with Wi-fi Connect  - White,54999.0,30999,523,1.0,69 Ratings & 12 Reviews,4.0,realme,5.0
163,163,"Hitachi 1.5 Ton 3 Star Split Inverter AC  - White, Gold",59700.0,36499,1012,1.5,155 Ratings & 5 Reviews,3.9,Hitachi,3.0
